n_jobs,kind,seconds,value
1,sequential,0.293,1.000000079
1,threads,0.292,1.000000079
1,processes,0.333,1.000000079
2,threads,0.293,1.000000079
2,processes,0.183,1.000000079
3,threads,0.294,1.000000079
3,processes,0.140,1.000000079
4,threads,0.294,1.000000079
4,processes,0.128,1.000000079
5,threads,0.308,1.000000079
5,processes,0.128,1.000000079
6,threads,0.310,1.000000079
6,processes,0.127,1.000000079
7,threads,0.308,1.000000079
7,processes,0.127,1.000000079
8,threads,0.314,1.000000079
8,processes,0.129,1.000000079
9,threads,0.309,1.000000079
9,processes,0.128,1.000000079
10,threads,0.308,1.000000079
10,processes,0.128,1.000000079
11,threads,0.310,1.000000079
11,processes,0.141,1.000000079
12,threads,0.311,1.000000079
12,processes,0.141,1.000000079
13,threads,0.307,1.000000079
13,processes,0.146,1.000000079
14,threads,0.309,1.000000079
14,processes,0.155,1.000000079
15,threads,0.310,1.000000079
15,processes,0.156,1.000000079
16,threads,0.315,1.000000079
16,processes,0.168,1.000000079
17,threads,0.311,1.000000079
17,processes,0.175,1.000000079
18,threads,0.309,1.000000079
18,processes,0.181,1.000000079
19,threads,0.311,1.000000079
19,processes,0.182,1.000000079
20,threads,0.315,1.000000079
20,processes,0.189,1.000000079
